	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall
0	0.70487534323081	0.7516447368421053	0.7308998277264531	0.753404344193818	0.7718045112781955	0.7515472869697248	0.7569226095541884	0.7966678058783323	0.6321789149962523	0.7009664312295892	0.6821115288220551
1	0.754600366257893	0.8037280701754387	0.7289997283418338	0.7675201260727578	0.7447890559732667	0.768952672346305	0.7820593149540519	0.7962273107009948	0.7658486980855403	0.8005116959064328	0.7785714285714288
2											
3											
4											
5											
6											
7											
8											
9											
